(* ^ ω ^),*,*,*,顔文字,楽しい,Joy,Positive Emotion,*,*,(* ^ ω ^),(* ^ ω ^),顔文字
(´ ∀ ` *),*,*,*,顔文字,楽しい,Joy,Positive Emotion,*,*,(´ ∀ ` *),(´ ∀ ` *),顔文字
٩(◕‿◕｡)۶,*,*,*,顔文字,楽しい,Joy,Positive Emotion,*,*,٩(◕‿◕｡)۶,٩(◕‿◕｡)۶,顔文字
☆*:.｡.o(≧▽≦)o.｡.:*☆,*,*,*,顔文字,楽しい,Joy,Positive Emotion,*,*,☆*:.｡.o(≧▽≦)o.｡.:*☆,☆*:.｡.o(≧▽≦)o.｡.:*☆,顔文字
(o^▽^o),*,*,*,顔文字,楽しい,Joy,Positive Emotion,*,*,(o^▽^o),(o^▽^o),顔文字
(⌒▽⌒)☆,*,*,*,顔文字,楽しい,Joy,Positive Emotion,*,*,(⌒▽⌒)☆,(⌒▽⌒)☆,顔文字
<(￣︶￣)>,*,*,*,顔文字,楽しい,Joy,Positive Emotion,*,*,<(￣︶￣)>,<(￣︶￣)>,顔文字
。.:☆*:･'(*⌒―⌒*))),*,*,*,顔文字,楽しい,Joy,Positive Emotion,*,*,。.:☆*:･'(*⌒―⌒*))),。.:☆*:･'(*⌒―⌒*))),顔文字
ヽ(・∀・)ﾉ,*,*,*,顔文字,楽しい,Joy,Positive Emotion,*,*,ヽ(・∀・)ﾉ,ヽ(・∀・)ﾉ,顔文字
(´｡• ω •｡`),*,*,*,顔文字,楽しい,Joy,Positive Emotion,*,*,(´｡• ω •｡`),(´｡• ω •｡`),顔文字
(￣ω￣),*,*,*,顔文字,楽しい,Joy,Positive Emotion,*,*,(￣ω￣),(￣ω￣),顔文字
｀;:゛;｀;･(°ε° ),*,*,*,顔文字,楽しい,Joy,Positive Emotion,*,*,｀;:゛;｀;･(°ε° ),｀;:゛;｀;･(°ε° ),顔文字
(o･ω･o),*,*,*,顔文字,楽しい,Joy,Positive Emotion,*,*,(o･ω･o),(o･ω･o),顔文字
(＠＾◡＾),*,*,*,顔文字,楽しい,Joy,Positive Emotion,*,*,(＠＾◡＾),(＠＾◡＾),顔文字
ヽ(*・ω・)ﾉ,*,*,*,顔文字,楽しい,Joy,Positive Emotion,*,*,ヽ(*・ω・)ﾉ,ヽ(*・ω・)ﾉ,顔文字
(o_ _)ﾉ彡☆,*,*,*,顔文字,楽しい,Joy,Positive Emotion,*,*,(o_ _)ﾉ彡☆,(o_ _)ﾉ彡☆,顔文字
(^人^),*,*,*,顔文字,楽しい,Joy,Positive Emotion,*,*,(^人^),(^人^),顔文字
(o´▽`o),*,*,*,顔文字,楽しい,Joy,Positive Emotion,*,*,(o´▽`o),(o´▽`o),顔文字
(*´▽`*),*,*,*,顔文字,楽しい,Joy,Positive Emotion,*,*,(*´▽`*),(*´▽`*),顔文字
｡ﾟ( ﾟ^∀^ﾟ)ﾟ｡,*,*,*,顔文字,楽しい,Joy,Positive Emotion,*,*,｡ﾟ( ﾟ^∀^ﾟ)ﾟ｡,｡ﾟ( ﾟ^∀^ﾟ)ﾟ｡,顔文字
( ´ ω ` ),*,*,*,顔文字,楽しい,Joy,Positive Emotion,*,*,( ´ ω ` ),( ´ ω ` ),顔文字
(((o(*°▽°*)o))),*,*,*,顔文字,楽しい,Joy,Positive Emotion,*,*,(((o(*°▽°*)o))),(((o(*°▽°*)o))),顔文字
(≧◡≦),*,*,*,顔文字,楽しい,Joy,Positive Emotion,*,*,(≧◡≦),(≧◡≦),顔文字
